host_name,neighbourhood_group,neighbourhood,avg_price,total_reviews
Lissette,"Staten Island",Tompkinsville,36.50,850
Waldemar,Brooklyn,"Clinton Hill",73.00,720
Edward,Manhattan,"East Village",65.33,642
Luiz,Manhattan,"Hell's Kitchen",64.00,623
Ren̩e,Brooklyn,Bedford-Stuyvesant,135.00,557
"Ssameer Or Trip",Manhattan,Harlem,53.33,526
Laurie,Brooklyn,"South Slope",104.33,486
Wayne,Manhattan,Harlem,92.33,485
Dani,Brooklyn,"South Slope",120.00,467
Agnes,Manhattan,Harlem,60.00,458
